feature,importance
load_lag_1,9462.265284581104
load_lag_168,320.96468741589797
load_lag_3,318.8762947997914
hour,190.07766110854982
load_lag_2,130.67006584358222
load_lag_72,103.46855500059146
load_lag_24,89.31836646998181
rolling_mean_168,62.62971483432803
dew_point_c,39.608333963624865
temperature_c,36.987442310408554
day_of_week,31.826834156081258
rolling_std_24,26.115312013980837
load_lag_48,5.263537496095705
is_weekend,0.0
day_of_year,0.0
precipitation_mm,0.0
month,0.0
wind_speed_mps,-3.292769784113079
rolling_mean_24,-11.880683987184966
relative_humidity_pct,-16.75187907925556
rolling_std_168,-18.275678028741915
